"","district","upazila","union","date","hpa_id","demo_gender","demo_educ","license","license_who","invest_amnt","invest_self","invest_bank","invest_mfi","invest_family","invest_partner","revenue","train_yn","train_maxwashi","train_maxwashii","train_wb","train_ide","train_asa","train_other","serv_growth","serv_businessmodel","serv_ancpnc","serv_other","mou_le","mou_wholesaler"
"167","Patuakhali",7895,789527,2018-07-01,211,"F","Secondary",0,NA,2500,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0
"168","Khulna",4764,476427,2018-07-01,212,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"169","Jessore",4138,413819,2018-07-01,213,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"170","Satkhira",8743,874339,2018-07-01,214,"F","Higher",0,NA,200,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"171","Khulna",4730,473013,2018-07-01,215,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0
"172","Patuakhali",7895,789513,2018-07-01,218,"F","Secondary",0,NA,20000,1,0,0,0,1,68000,1,0,1,0,0,0,1,1,1,1,1,1,1
"173","Khulna",4730,473013,2018-07-01,220,"F","Primary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0
"174","Barguna",409,40923,2018-07-01,222,"F","Higher",0,NA,10000,1,0,1,0,0,22000,1,1,1,0,0,0,1,1,0,1,1,1,0
"175","Khulna",4712,471271,2018-07-01,223,"F","Primary",1,"Union Parishad",500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"176","Patuakhali",7897,789744,2018-07-01,224,"F","Secondary",0,NA,5000,1,0,0,0,0,125000,1,0,1,0,0,0,0,1,1,1,0,1,0
"177","Satkhira",8790,879079,2018-07-01,225,"F","Secondary",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
"178","Khulna",4730,473061,2018-07-01,226,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"179","Jessore",4138,413819,2018-07-01,227,"F","Higher",0,NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"180","Khulna",4730,473061,2018-07-01,228,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"181","Satkhira",8782,878254,2018-07-01,230,"F","Higher",0,NA,2000,1,0,0,0,0,133688,1,0,1,0,0,0,1,1,1,1,1,1,0
"182","Khulna",4712,471259,2018-07-01,231,"F","Secondary",0,NA,500,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
"183","Patuakhali",7895,789574,2018-07-01,232,"F","Secondary",0,NA,2000,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
"184","Satkhira",8782,878254,2018-07-01,233,"F","Higher",0,NA,2000,1,0,0,0,0,120000,1,0,1,0,0,0,0,1,1,1,1,1,0
"185","Patuakhali",7866,786629,2018-07-01,234,"F","Secondary",0,NA,4000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0
