"","district","upazila","union","hpa_id","license","train_yn","mou_le","mou_retailer","is_le_agent","revenue","cost","profit"
"88","Patuakhali",7857,785711,165,0,1,1,1,1,18000,14500,3500
"89","Patuakhali",7895,789510,170,1,1,1,1,1,110000,86000,24000
"90","Khulna",4712,471271,172,0,1,0,0,0,23000,17000,6000
"91","Patuakhali",7857,785711,177,1,1,1,1,1,126000,80250,45750
"92","Jessore",4138,413876,180,1,1,1,1,1,93000,56000,37000
"93","Khulna",4730,473033,182,1,1,1,1,1,108000,71000,37000
"94","Patuakhali",7857,785739,186,1,1,1,1,1,13000,6500,6500
"95","Khulna",4730,473081,187,1,1,1,1,1,50000,38000,12000
"96","Khulna",4730,473033,189,1,1,1,1,1,55000,43000,12000
"97","Satkhira",8704,870434,190,1,1,1,0,0,62000,49500,12500
"98","Khulna",4730,473088,193,1,1,1,1,0,30000,24000,6000
"99","Patuakhali",7857,785737,197,1,1,1,0,0,15000,12000,3000
"100","Khulna",4712,471283,199,1,1,1,1,1,82000,54000,28000
"101","Satkhira",8782,878281,202,1,1,1,1,0,70000,54000,16000
"102","Khulna",4730,473094,203,1,1,1,1,1,90935,40935,50000
"103","Khulna",4730,473027,204,1,1,1,1,1,38000,26000,12000
"104","Patuakhali",7852,785242,205,1,1,1,1,1,26400,15000,11400
"105","Khulna",4730,473040,209,0,1,1,1,1,77000,62000,15000
"106","Patuakhali",7895,789527,211,1,1,1,0,1,74000,56000,18000
"107","Jessore",4138,413819,213,1,1,1,1,1,43000,37000,6000
"108","Patuakhali",7895,789531,216,1,1,1,1,1,128000,104000,24000
"109","Patuakhali",7857,785722,217,0,1,0,0,1,37000,29800,7200
"110","Patuakhali",7895,789513,218,1,1,1,1,1,179900,107500,72400
"111","Khulna",4730,473040,219,1,1,1,1,1,64000,42000,22000
"112","Barguna",409,40923,222,1,1,1,1,1,46000,28000,18000
"113","Patuakhali",7897,789744,224,1,1,1,1,1,120000,75000,45000
"114","Satkhira",8790,879079,225,1,1,1,1,1,433000,310000,123000
"115","Patuakhali",7866,786659,229,1,1,1,1,1,55000,40600,14400
"116","Patuakhali",7895,789574,232,1,1,1,1,1,74000,56000,18000
