"","parentID","locID","locName"
"1",4,409,"Amtali"
"2",41,4104,"Abhaynagar"
"3",41,4138,"Keshabpur"
"4",41,4161,"Manirampur"
"5",47,4712,"Batiaghata"
"6",47,4730,"Dumuria"
"7",47,4764,"Paikgachha"
"8",78,7852,"Dashmina"
"9",78,7857,"Galachipa"
"10",78,7866,"Kalapara"
"11",78,7895,"Patuakhali Sadar"
"12",78,7897,"Rangabali"
"13",87,8704,"Assasuni"
"14",87,8743,"Kalaroa"
"15",87,8782,"Satkhira Sadar"
"16",87,8790,"Tala"
